ID,repeats,experimental_replicate,TM-ecuatorial,TM-polar,control-ecuatorial,control-polar
792,3,2,0,0,61.2,62.52
793,1,2,0,0,60.6,58.85
793,2,2,0,0,61.01,61.43
793,3,2,0,0,61.9,60.34
794,1,2,0,0,53.74,57.03
794,2,2,0,0,57.15,57.78
794,3,2,0,0,60.33,60.22
795,1,2,0,0,54.23,56.8
795,2,2,0,0,54.27,57.86
795,3,2,0,0,55.92,55.51
796,1,2,0,0,60.2,61.39
796,2,2,0,0,59.3,60.41
796,3,2,0,0,59.37,61.24
797,1,2,0,0,62.51,62.51
797,2,2,0,0,62.8,63.27
797,3,2,0,0,61.72,64.49
810,1,2,0,0,54.99,53.73
810,2,2,0,0,51.89,50.47
810,3,2,0,0,56.72,53.24
815,1,2,0,0,58.99,60.15
815,2,2,0,0,59.72,60.7
815,3,2,0,0,59.55,59.47
816,1,2,0,0,61.05,62.36
816,2,2,0,0,66.9,65.76
816,3,2,0,0,61.91,61.19
819,1,2,0,0,59.87,61.1
819,2,2,0,0,58.9,57.26
819,3,2,0,0,59.8,63.2
863,1,2,0,0,58.83,59.03
863,2,2,0,0,57.61,56.63
863,3,2,0,0,59.59,59.06
864,1,2,0,0,61.28,58.57
864,2,2,0,0,58.81,59.07
864,3,2,0,0,55.87,56.7
865,1,2,0,0,54.74,56.56
865,2,2,0,0,54.87,54.18
865,3,2,0,0,56.4,57.75
866,1,2,,,,
866,2,2,,,,
866,3,2,,,,
868,1,2,0,0,57.03,54.06
868,2,2,0,0,54.65,57.09
868,3,2,0,0,53.45,56.77
869,1,2,,,,
869,2,2,,,,
869,3,2,,,,
872,1,2,,,,
872,2,2,,,,
872,3,2,,,,
873,1,2,,,,
873,2,2,,,,
873,3,2,,,,
874,1,2,,,,
874,2,2,,,,
874,3,2,,,,
875,1,2,,,,
875,2,2,,,,
875,3,2,,,,
876,1,2,,,,
876,2,2,,,,
876,3,2,,,,
879,1,2,,,,
879,2,2,,,,
879,3,2,,,,
880,1,2,,,,
880,2,2,,,,
880,3,2,,,,
881,1,2,,,,
881,2,2,,,,
881,3,2,,,,
882,1,2,,,,
882,2,2,,,,
882,3,2,,,,
883,1,2,,,,
883,2,2,,,,
883,3,2,,,,
886,1,2,,,,
886,2,2,,,,
886,3,2,,,,
887,1,2,,,,
887,2,2,,,,
887,3,2,,,,
888,1,2,,,,
888,2,2,,,,
888,3,2,,,,
889,1,2,,,,
889,2,2,,,,
889,3,2,,,,
890,1,2,,,,
890,2,2,,,,
890,3,2,,,,
893,1,2,,,,
893,2,2,,,,
893,3,2,,,,
894,1,2,,,,
894,2,2,,,,
894,3,2,,,,
895,1,2,,,,
895,2,2,,,,
895,3,2,,,,
898,1,2,,,,
898,2,2,,,,
898,3,2,,,,
899,1,2,,,,
899,2,2,,,,
899,3,2,,,,
900,1,2,,,,
900,2,2,,,,
900,3,2,,,,
903,1,2,,,,
903,2,2,,,,
903,3,2,,,,
904,1,2,,,,
904,2,2,,,,
904,3,2,,,,
907,1,2,,,,
907,2,2,,,,
907,3,2,,,,
910,1,2,,,,
910,2,2,,,,
910,3,2,,,,
