ID,repeats,experimental_replicate,tetraconazole-ecuatorial,tetraconazole-polar,control-ecuatorial,control-polar
893,3,1,21.22,19.67,60.8,59.35
894,1,1,25.82,25.99,52.66,50.78
894,2,1,25.91,26.58,53.2,52.16
894,3,1,28.68,27.06,49.69,54.86
895,1,1,28.13,28.27,57.44,60.63
895,2,1,26.22,27.42,60,59.2
895,3,1,27.93,28.77,59.7,58.69
898,1,1,28.13,29.65,61.22,61.22
898,2,1,29.65,29.41,59.56,58.28
898,3,1,28.79,29.19,62.32,63.83
899,1,1,26.05,25.45,56.39,56.98
899,2,1,26.85,26.41,56.23,56.04
899,3,1,27.14,26.78,55.92,58.87
900,1,1,26.02,25.51,59.22,57.09
900,2,1,25.23,26.09,58.74,56.35
900,3,1,26.29,25.7,59.29,51.47
903,1,1,24.52,25.57,54.18,58.54
903,2,1,28.24,26.9,54.57,56.44
903,3,1,25.61,26.28,57.34,58.69
904,1,1,0,0,57.58,58.43
904,2,1,0,0,62.22,60.3
904,3,1,0,0,57.37,56.97
907,1,1,23.92,23.92,54.03,49.81
907,2,1,21.35,21.25,43.02,46.88
907,3,1,21.55,20.35,54.17,50.61
910,1,1,27.9,27.9,55.78,54.88
910,2,1,26.68,27.71,54.62,56.5
910,3,1,26.02,27.42,54.16,56.21
461,1,2,27.27,26.62,50.99,48
461,2,2,24.52,23,46.06,50.74
461,3,2,25.01,23.25,50.52,52.14
461,1,2,23.91,23.75,52.35,53.4
461,2,2,22.63,21.43,53.4,56.24
461,3,2,24.85,22.6,56.67,57.88
461,1,2,21.73,19.87,44.67,41.36
461,2,2,23.83,21.99,52.96,53.73
461,3,2,21.2,19.38,38.05,36.51
461,1,2,27.88,25.65,50.52,52.15
461,2,2,26.98,24.21,55.78,58.42
461,3,2,25.57,28.44,59.08,55.23
461,1,2,24.56,24.49,59.46,61.25
461,2,2,25.76,24.85,59.55,55.02
461,3,2,23.71,23.24,58.93,61.65
700,1,2,0,0,45.6,53.27
700,2,2,0,0,51.53,56.53
700,3,2,0,0,47.47,50.68
701,1,2,20.47,20.19,58.24,57.88
701,2,2,22.6,23.49,53.47,49.52
701,3,2,21,18.6,53.73,52.47
702,1,2,22.25,23.4,50.78,58.38
702,2,2,26.19,25.46,55.1,60.57
702,3,2,19.25,21.75,53.43,56.23
703,1,2,20.43,18.99,53.44,56.79
703,2,2,18.39,18.8,48.58,53.42
703,3,2,18.45,17.62,52.97,52.71
704,1,2,12.27,10.57,60.32,59.29
704,2,2,15.22,11.95,60.84,61.29
704,3,2,16.37,15.64,57.22,55.47
705,1,2,13.38,13.45,53.21,56.73
705,2,2,14.35,15.83,54.91,55.66
705,3,2,11.03,12.85,50.81,53.61
706,1,2,13.08,15.57,57.11,57.31
706,2,2,16.37,18.67,58.54,62.11
706,3,2,16.46,15.51,54.5,56.37
707,1,2,0,0,57.12,55.97
707,2,2,0,0,54.64,59.9
707,3,2,0,0,53.56,54.91
708,1,2,14.28,13.53,44.12,47.95
708,2,2,12.25,12.12,48.98,53.45
708,3,2,12.52,13.53,52.91,52.01
709,1,2,23.54,23.33,69.41,66.72
709,2,2,21.86,22.23,68.08,66.67
709,3,2,21.62,20.13,68.52,69.08
713,1,2,27.03,26.6,55.42,56.24
713,2,2,24.6,26.32,54.9,57.12
713,3,2,27.53,25.41,64.31,61.72
714,1,2,29.48,28.92,60.21,60.19
714,2,2,27.65,27.97,59.27,56.51
714,3,2,27.12,28.74,55.69,55.05
715,1,2,29.11,30.37,60.76,60.65
715,2,2,29.26,29.6,59.94,62.18
715,3,2,27.63,26.47,61.64,61.41
716,1,2,32.12,33.5,64.8,63.9
716,2,2,29.69,30.76,61.87,65.48
716,3,2,31.36,31.27,63.84,61.6
717,1,2,28.01,29.47,60.95,61.58
717,2,2,28.06,29.06,64.13,63.62
