ID,repeats,experimental_replicate,control.ecuatorial,control.polar,tetraconazole.ecuatorial,tetraconazole.polar
1928,2,2,5.334,5.73,2.182,2.135
1928,3,2,5.783,5.451,2.318,2.048
1929,1,2,5.552,5.563,2.68,2.47
1929,2,2,5.683,5.829,2.577,2.231
1929,3,2,5.674,5.636,2.623,2.561
1930,1,2,4.99,4.968,1.614,1.614
1930,2,2,4.688,4.822,1.716,1.716
1930,3,2,5.001,5.106,1.792,1.792
1931,1,2,5.077,5.031,1.656,1.656
1931,2,2,4.93,4.87,1.946,1.894
1931,3,2,5.068,4.992,2.054,1.87
2481,1,2,5.742,5.967,2.759,2.718
2481,2,2,5.945,6.043,2.491,2.868
2481,3,2,6.291,6.114,2.678,2.51
2483,1,2,5.648,5.901,2.667,2.417
2483,2,2,5.96,5.928,2.739,2.647
2483,3,2,6.008,6.006,2.654,2.605
2484,1,2,6.399,6.095,2.695,2.561
2484,2,2,5.929,6.011,2.694,2.597
2484,3,2,6.293,6.026,2.627,2.485
2485,1,2,5.987,5.744,2.525,2.685
2485,2,2,6.217,6.187,2.643,2.611
2485,3,2,5.638,5.862,2.819,2.82
2486,1,2,5.968,5.968,2.948,2.782
2486,2,2,5.551,5.652,2.893,2.946
2486,3,2,5.85,5.922,2.788,2.832
2487,1,2,5.743,5.435,2.545,2.394
2487,2,2,5.563,5.434,2.606,2.401
2487,3,2,5.638,6.029,2.395,2.225
2488,1,2,5.941,5.783,3.045,3.121
2488,2,2,5.637,6.072,2.955,2.963
2488,3,2,5.41,5.543,2.938,3.021
2489,1,2,6.191,6.213,2.348,2.453
2489,2,2,6.545,6.115,2.836,2.689
2489,3,2,6.459,6.451,2.593,2.328
2490,1,2,6.169,6.511,2.277,2.277
2490,2,2,6.145,6.572,2.367,2.247
2490,3,2,6.432,6.347,2.352,2.215
2504,1,2,6.016,6.016,2.377,2.297
2504,2,2,5.8,6.035,2.537,2.357
2504,3,2,5.917,5.763,2.397,2.239
2505,1,2,5.713,5.62,2.168,2.068
2505,2,2,5.543,5.734,2.218,2.315
2505,3,2,5.676,5.846,2.26,2.26
2506,1,2,6.032,5.803,2.254,2.317
2506,2,2,5.238,5.423,2.261,2.378
2506,3,2,5.331,5.378,2.152,2.269
2507,1,2,5.846,5.828,2.29,2.135
2507,2,2,5.514,5.527,1.91,1.91
2507,3,2,5.601,5.601,2.181,2.229
2508,1,2,5.656,5.84,2.219,2.073
2508,2,2,5.645,5.645,2.349,1.966
2508,3,2,5.81,5.858,2.3,2.019
2509,1,2,5.945,6.063,2.413,2.361
2509,2,2,5.84,6.039,2.423,2.233
2509,3,2,5.358,5.618,2.412,2.389
2510,1,2,6.146,5.995,2.632,2.496
2510,2,2,6.266,6.167,2.718,2.718
2510,3,2,5.994,6.117,2.498,2.596
2511,1,2,5.522,5.863,2.581,2.478
2511,2,2,5.672,5.566,2.547,2.387
2511,3,2,5.566,5.521,2.616,2.553
2512,1,2,6.285,6.325,2.516,2.539
2512,2,2,5.934,5.94,2.481,2.404
2512,3,2,5.94,5.94,2.453,2.233
2513,1,2,5.834,6.056,2.387,2.178
2513,2,2,5.9,5.819,2.598,2.523
2513,3,2,5.699,5.61,2.67,2.666
2542,1,2,5.656,5.819,2.373,2.533
2542,2,2,5.413,5.618,2.68,2.611
2542,3,2,5.716,6.009,2.663,2.711
2545,1,2,5.704,5.441,2.877,2.634
2545,2,2,5.555,5.494,2.64,2.566
2545,3,2,5.575,5.575,2.462,2.593
2546,1,2,5.367,5.367,2.933,2.915
2546,2,2,5.334,5.334,2.795,2.931
2546,3,2,5.34,5.166,2.922,2.885
2547,1,2,5.425,5.313,2.646,2.567
2547,2,2,5.062,5.037,2.682,2.595
2547,3,2,5.32,5.173,2.676,2.664
2548,1,2,5.525,5.63,2.629,2.64
2548,2,2,5.18,5.18,2.731,2.737
