ID,experimental_replicate,dose,ecuatorial,polar,,,,,,,
558,1,0.75,5.49,4.95,,,,,,,
558,1,0.75,5.70,4.55,,,,,,,
564,1,0.75,7.31,7.15,,,,,,,
564,1,0.75,6.45,6.69,,,,,,,
564,1,0.75,7.04,7.03,,,,,,,
564,1,0.75,6.89,7.06,,,,,,,
568,1,0.75,4.71,6.14,,,,,,,
568,1,0.75,5.59,5.21,,,,,,,
568,1,0.75,6.34,6.34,,,,,,,
568,1,0.75,6.06,6.06,,,,,,,
581,1,0.75,6.72,6.63,,,,,,,
581,1,0.75,5.27,5.31,,,,,,,
581,1,0.75,6.24,6.54,,,,,,,
581,1,0.75,6.91,7.22,,,,,,,
645,1,0.75,5.98,6.40,,,,,,,
645,1,0.75,5.14,5.49,,,,,,,
645,1,0.75,6.24,7.09,,,,,,,
645,1,0.75,6.64,7.08,,,,,,,
667,1,0.75,4.92,4.84,,,,,,,
667,1,0.75,4.16,4.30,,,,,,,
667,1,0.75,4.89,4.02,,,,,,,
667,1,0.75,4.56,4.06,,,,,,,
800,1,0.75,6.98,5.16,,,,,,,
800,1,0.75,5.84,5.49,,,,,,,
800,1,0.75,7.37,7.31,,,,,,,
800,1,0.75,7.63,7.57,,,,,,,
62-02,1,0.75,5.01,4.84,,,,,,,
62-02,1,0.75,4.79,4.58,,,,,,,
62-02,1,0.75,5.47,5.20,,,,,,,
62-02,1,0.75,5.11,4.73,,,,,,,
62-03,1,0.75,3.95,3.33,,,,,,,
62-03,1,0.75,4.08,4.21,,,,,,,
62-03,1,0.75,4.50,5.22,,,,,,,
62-03,1,0.75,3.45,3.90,,,,,,,
62-04,1,0.75,5.11,5.29,,,,,,,
62-04,1,0.75,4.50,4.59,,,,,,,
62-04,1,0.75,4.87,4.65,,,,,,,
62-04,1,0.75,5.01,4.17,,,,,,,
78-01,1,0.75,5.35,5.70,,,,,,,
78-01,1,0.75,4.74,5.09,,,,,,,
78-01,1,0.75,5.64,4.75,,,,,,,
78-01,1,0.75,4.62,5.41,,,,,,,
78-02,1,0.75,6.63,6.00,,,,,,,
78-02,1,0.75,4.93,5.90,,,,,,,
78-02,1,0.75,6.45,6.47,,,,,,,
78-02,1,0.75,7.23,5.71,,,,,,,
78-02,1,0.75,6.13,6.67,,,,,,,
78-05,1,0.75,5.95,5.36,,,,,,,
78-05,1,0.75,6.98,6.60,,,,,,,
78-05,1,0.75,6.13,6.72,,,,,,,
S-01,1,0.75,5.35,4.02,,,,,,,
S-01,1,0.75,4.94,4.72,,,,,,,
S-01,1,0.75,6.76,5.09,,,,,,,
S-01,1,0.75,,,,,,,,,
H-01,1,0.75,3.67,4.65,,,,,,,
H-01,1,0.75,5.42,5.04,,,,,,,
H-01,1,0.75,6.35,5.90,,,,,,,
H-01,1,0.75,6.17,5.46,,,,,,,
H-03,1,0.75,6.45,6.34,,,,,,,
H-03,1,0.75,6.15,5.62,,,,,,,
H-03,1,0.75,6.10,6.28,,,,,,,
H-03,1,0.75,4.68,5.94,,,,,,,
H-04,1,0.75,5.47,5.20,,,,,,,
H-04,1,0.75,5.17,5.17,,,,,,,
H-04,1,0.75,5.59,5.84,,,,,,,
H-04,1,0.75,5.06,5.96,,,,,,,
I-20,1,0.75,5.66,5.88,,,,,,,
I-20,1,0.75,5.94,6.24,,,,,,,
I-20,1,0.75,6.53,6.60,,,,,,,
I-20,1,0.75,6.62,6.90,,,,,,,
419,1,0.75,5.78,5.85,,,,,,,
419,1,0.75,5.97,5.31,,,,,,,
419,1,0.75,5.59,6.61,,,,,,,
419,1,0.75,7.14,5.52,,,,,,,
413,1,0.75,6.10,5.72,,,,,,,
413,1,0.75,4.87,4.85,,,,,,,
413,1,0.75,4.89,5.12,,,,,,,
413,1,0.75,5.81,6.01,,,,,,,
W212,1,0.75,6.81,5.71,,,,,,,
W212,1,0.75,5.18,5.42,,,,,,,
W212,1,0.75,6.84,6.36,,,,,,,
W212,1,0.75,7.32,6.56,,,,,,,
318,1,0.75,5.32,5.60,,,,,,,
318,1,0.75,5.23,4.60,,,,,,,
318,1,0.75,5.80,6.11,,,,,,,
318,1,0.75,5.77,5.96,,,,,,,
1025,1,0.75,5.31,5.79,,,,,,,
1025,1,0.75,5.14,5.25,,,,,,,
1025,1,0.75,5.93,5.36,,,,,,,
1025,1,0.75,4.97,4.27,,,,,,,
1026,1,0.75,7.51,7.77,,,,,,,
1026,1,0.75,6.91,6.84,,,,,,,
1026,1,0.75,7.82,7.76,,,,,,,
1026,1,0.75,8.00,7.88,,,,,,,
1027,1,0.75,5.75,5.85,,,,,,,
1027,1,0.75,5.16,4.54,,,,,,,
1027,1,0.75,6.00,5.13,,,,,,,
1027,1,0.75,5.59,4.88,,,,,,,
1029,1,0.75,5.55,5.94,,,,,,,
1029,1,0.75,4.91,5.10,,,,,,,
1029,1,0.75,6.39,6.27,,,,,,,
1029,1,0.75,5.86,6.16,,,,,,,
1032,1,0.75,5.33,5.41,,,,,,,
1032,1,0.75,4.83,4.56,,,,,,,
1032,1,0.75,4.69,6.16,,,,,,,
1032,1,0.75,6.85,6.18,,,,,,,
1033,1,0.75,4.93,5.76,,,,,,,
1033,1,0.75,4.98,5.07,,,,,,,
1033,1,0.75,4.92,5.68,,,,,,,
1033,1,0.75,5.70,4.65,,,,,,,
1,1,1.00,3.25,2.68,,,,,,,
1,1,1.00,2.97,3.10,,,,,,,
1,1,1.00,2.35,2.29,,,,,,,
1,1,1.00,3.27,3.25,,,,,,,
8,1,1.00,4.32,3.67,,,,,,,
8,1,1.00,4.16,4.01,,,,,,,
8,1,1.00,3.40,3.54,,,,,,,
8,1,1.00,4.80,4.63,,,,,,,
12B,1,1.00,4.06,3.30,,,,,,,
12B,1,1.00,4.25,4.40,,,,,,,
12B,1,1.00,3.58,3.09,,,,,,,
12B,1,1.00,4.85,4.01,,,,,,,
20,1,1.00,3.59,2.81,,,,,,,
20,1,1.00,3.44,3.89,,,,,,,
20,1,1.00,4.36,4.40,,,,,,,
20,1,1.00,4.39,3.93,,,,,,,
123,1,1.00,4.42,5.47,,,,,,,
123,1,1.00,3.67,4.04,,,,,,,
123,1,1.00,3.09,3.27,,,,,,,
123,1,1.00,3.82,4.03,,,,,,,
21,1,1.00,4.31,3.56,,,,,,,
21,1,1.00,3.88,3.72,,,,,,,
21,1,1.00,3.54,4.21,,,,,,,
21,1,1.00,4.18,4.5,,,,,,,
74SS1,1,1.00,3.57,3.99,,,,,,,
74SS1,1,1.00,4.45,5.44,,,,,,,
74SS1,1,1.00,4.66,5.07,,,,,,,
74SS1,1,1.00,4.21,5.02,,,,,,,
87,1,1.00,6.07,5.45,,,,,,,
87,1,1.00,6.33,6.42,,,,,,,
87,1,1.00,6.38,4.95,,,,,,,
87,1,1.00,5.54,4.99,,,,,,,
118,1,1.00,4.80,5.36,,,,,,,
118,1,1.00,5.84,5.81,,,,,,,
118,1,1.00,4.38,5.79,,,,,,,
118,1,1.00,5.10,5.35,,,,,,,
129,1,1.00,5.68,4.41,,,,,,,
129,1,1.00,5.00,3.89,,,,,,,
129,1,1.00,5.85,4.51,,,,,,,
129,1,1.00,5.24,5.21,,,,,,,
449,1,1.00,3.30,3.42,,,,,,,
449,1,1.00,4.52,4.02,,,,,,,
449,1,1.00,3.63,3.63,,,,,,,
449,1,1.00,3.99,3.48,,,,,,,
461,1,1.00,4.56,3.92,,,,,,,
461,1,1.00,4.52,4.23,,,,,,,
461,1,1.00,4.02,3.59,,,,,,,
461,1,1.00,3.05,3.36,,,,,,,
467,1,1.00,4.18,4.05,,,,,,,
467,1,1.00,3.40,4.04,,,,,,,
467,1,1.00,3.61,4.10,,,,,,,
467,1,1.00,4.51,3.99,,,,,,,
475,1,1.00,5.12,4.64,,,,,,,
475,1,1.00,5.36,5.11,,,,,,,
475,1,1.00,4.86,5.50,,,,,,,
475,1,1.00,4.74,4.55,,,,,,,
558,1,1.00,4.46,3.45,,,,,,,
558,1,1.00,3.78,3.80,,,,,,,
558,1,1.00,5.03,4.20,,,,,,,
558,1,1.00,3.08,3.10,,,,,,,
564,1,1.00,6.47,6.59,,,,,,,
564,1,1.00,6.45,6.96,,,,,,,
564,1,1.00,6.35,6.68,,,,,,,
564,1,1.00,6.06,6.07,,,,,,,
568,1,1.00,5.72,4.37,,,,,,,
568,1,1.00,6.18,5.28,,,,,,,
568,1,1.00,6.14,4.71,,,,,,,
568,1,1.00,3.67,4.81,,,,,,,
581,1,1.00,3.71,4.18,,,,,,,
581,1,1.00,5.42,4.70,,,,,,,
581,1,1.00,4.02,5.17,,,,,,,
581,1,1.00,6.27,6.14,,,,,,,
645,1,1.00,6.27,5.42,,,,,,,
645,1,1.00,6.01,5.51,,,,,,,
645,1,1.00,5.02,5.20,,,,,,,
645,1,1.00,4.33,4.46,,,,,,,
667,1,1.00,3.85,3.59,,,,,,,
667,1,1.00,4.46,3.27,,,,,,,
667,1,1.00,4.45,2.78,,,,,,,
667,1,1.00,3.39,3.59,,,,,,,
800,1,1.00,4.95,4.69,,,,,,,
800,1,1.00,6.99,5.25,,,,,,,
800,1,1.00,6.61,6.38,,,,,,,
800,1,1.00,5.21,5.16,,,,,,,
62-02,1,1.00,3.44,3.99,,,,,,,
62-02,1,1.00,3.68,3.79,,,,,,,
62-02,1,1.00,2.59,2.64,,,,,,,
62-02,1,1.00,3.28,3.53,,,,,,,
62-03,1,1.00,4.37,4.49,,,,,,,
62-03,1,1.00,3.68,3.37,,,,,,,
62-03,1,1.00,2.87,2.87,,,,,,,
62-03,1,1.00,2.69,2.85,,,,,,,
62-04,1,1.00,4.37,3.65,,,,,,,
62-04,1,1.00,3.26,4.09,,,,,,,
62-04,1,1.00,3.54,3.42,,,,,,,
62-04,1,1.00,3.49,3.98,,,,,,,
78-01,1,1.00,4.78,5.42,,,,,,,
78-01,1,1.00,3.75,3.02,,,,,,,
78-01,1,1.00,5.64,4.71,,,,,,,
78-01,1,1.00,3.75,3.71,,,,,,,
78-02,1,1.00,5.80,4.44,,,,,,,
78-02,1,1.00,5.51,4.25,,,,,,,
78-02,1,1.00,3.35,4.49,,,,,,,
78-02,1,1.00,4.97,3.98,,,,,,,
78-05,1,1.00,5.51,6.16,,,,,,,
78-05,1,1.00,5.91,5.83,,,,,,,
78-05,1,1.00,5.44,5.61,,,,,,,
78-05,1,1.00,4.82,5.08,,,,,,,
S-01,1,1.00,4.68,4.14,,,,,,,
S-01,1,1.00,3.41,2.70,,,,,,,
S-01,1,1.00,4.94,4.48,,,,,,,
S-01,1,1.00,6.67,4.45,,,,,,,
H-01,1,1.00,3.83,5.12,,,,,,,
H-01,1,1.00,4.40,6.02,,,,,,,
H-01,1,1.00,4.89,5.05,,,,,,,
H-01,1,1.00,3.55,4.10,,,,,,,
H-03,1,1.00,5.80,6.14,,,,,,,
H-03,1,1.00,5.94,5.70,,,,,,,
H-03,1,1.00,5.36,5.28,,,,,,,
H-03,1,1.00,4.14,5.26,,,,,,,
H-04,1,1.00,4.97,4.54,,,,,,,
H-04,1,1.00,5.07,5.07,,,,,,,
H-04,1,1.00,5.18,4.47,,,,,,,
H-04,1,1.00,4.31,3.74,,,,,,,
I-20,1,1.00,5.17,5.55,,,,,,,
I-20,1,1.00,5.44,5.67,,,,,,,
I-20,1,1.00,5.67,5.27,,,,,,,
I-20,1,1.00,4.50,4.81,,,,,,,
419,1,1.00,5.79,5.19,,,,,,,
419,1,1.00,4.53,5.59,,,,,,,
419,1,1.00,4.66,5.96,,,,,,,
419,1,1.00,5.26,4.11,,,,,,,
413,1,1.00,4.83,5.73,,,,,,,
413,1,1.00,5.49,5.77,,,,,,,
413,1,1.00,3.86,2.75,,,,,,,
413,1,1.00,4.53,4.55,,,,,,,
W212,1,1.00,4.67,6.07,,,,,,,
W212,1,1.00,5.71,6.10,,,,,,,
W212,1,1.00,4.67,4.70,,,,,,,
W212,1,1.00,3.51,5.37,,,,,,,
318,1,1.00,4.60,5.05,,,,,,,
318,1,1.00,4.83,4.77,,,,,,,
318,1,1.00,4.01,5.20,,,,,,,
318,1,1.00,3.64,5.02,,,,,,,
1025,1,1.00,6.23,4.34,,,,,,,
1025,1,1.00,5.60,5.56,,,,,,,
1025,1,1.00,5.47,4.57,,,,,,,
1025,1,1.00,3.74,3.72,,,,,,,
1026,1,1.00,6.29,7.53,,,,,,,
1026,1,1.00,6.84,6.98,,,,,,,
1026,1,1.00,5.48,5.86,,,,,,,
1026,1,1.00,5.93,5.40,,,,,,,
1027,1,1.00,6.03,5.13,,,,,,,
1027,1,1.00,4.85,4.49,,,,,,,
1027,1,1.00,5.57,4.57,,,,,,,
1027,1,1.00,3.77,3.91,,,,,,,
1029,1,1.00,5.02,4.69,,,,,,,
1029,1,1.00,4.42,5.42,,,,,,,
1029,1,1.00,5.85,4.89,,,,,,,
1029,1,1.00,4.04,4.28,,,,,,,
1032,1,1.00,4.93,4.91,,,,,,,
1032,1,1.00,4.67,6.17,,,,,,,
1032,1,1.00,4.78,4.64,,,,,,,
1032,1,1.00,4.58,4.26,,,,,,,
1033,1,1.00,3.78,3.51,,,,,,,
1033,1,1.00,5.56,4.84,,,,,,,
1033,1,1.00,6.28,6.35,,,,,,,
1033,1,1.00,4.64,4.58,,,,,,,
1,1,1.50,1.94,2.06,,,,,,,
1,1,1.50,2.06,2.08,,,,,,,
1,1,1.50,1.88,2.09,,,,,,,
1,1,1.50,1.59,1.84,,,,,,,
8,1,1.50,2.47,2.62,,,,,,,
8,1,1.50,3.09,2.86,,,,,,,
8,1,1.50,6.71,5.23,,,,,,,
8,1,1.50,2.44,2.62,,,,,,,
12B,1,1.50,1.87,2.08,,,,,,,
12B,1,1.50,3.14,3.24,,,,,,,
12B,1,1.50,7.87,7.55,,,,,,,
12B,1,1.50,2.54,2.15,,,,,,,
20,1,1.50,2.25,2.25,,,,,,,
20,1,1.50,2.51,2.57,,,,,,,
20,1,1.50,7.14,7.29,,,,,,,
20,1,1.50,2.27,2.10,,,,,,,
123,1,1.50,2.44,2.93,,,,,,,
123,1,1.50,2.63,2.78,,,,,,,
123,1,1.50,7.92,7.29,,,,,,,
123,1,1.50,2.76,2.84,,,,,,,
21,1,1.50,2.65,2.99,,,,,,,
21,1,1.50,2.98,3.18,,,,,,,
21,1,1.50,6.93,6.85,,,,,,,
21,1,1.50,3.08,2.69,,,,,,,
74SS1,1,1.50,2.44,3.51,,,,,,,
74SS1,1,1.50,2.89,3.08,,,,,,,
74SS1,1,1.50,6.68,7.05,,,,,,,
74SS1,1,1.50,3.71,3.05,,,,,,,
87,1,1.50,3.63,4.11,,,,,,,
87,1,1.50,3.36,3.48,,,,,,,
87,1,1.50,7.74,7.73,,,,,,,
87,1,1.50,3.92,3.02,,,,,,,
118,1,1.50,3.50,4.10,,,,,,,
118,1,1.50,3.37,3.32,,,,,,,
118,1,1.50,6.95,7.54,,,,,,,
118,1,1.50,3.42,2.81,,,,,,,
