ID,repeats,experimental_replicate,control-ecuatorial,control-polar,TM-ecuatorial,TM-polar
1962,3,2,6.3,6.421,1.55,1.545
1965,1,2,5.952,5.952,1.517,1.518
1965,2,2,6.102,5.886,1.372,1.345
1965,3,2,5.951,6.126,1.626,1.53
1967,1,2,5.705,5.785,1.313,1.313
1967,2,2,5.84,5.964,1.328,1.302
1967,3,2,5.871,5.769,1.366,1.366
1968,1,2,5.442,5.794,1.053,0.962
1968,2,2,6.043,5.626,1.169,1.334
1968,3,2,5.714,5.708,1.265,1.246
1969,1,2,5.442,5.848,1.29,1.186
1969,2,2,6.02,5.624,1.186,1.228
1969,3,2,6.282,5.854,1.166,1.2
2382,1,2,6.691,6.682,1.364,1.249
2382,2,2,6.504,6.627,1.261,1.101
2382,3,2,6.451,6.456,1.013,1.051
2386,1,2,6.779,6.313,1.649,1.607
2386,2,2,6.282,6.406,1.411,1.54
2386,3,2,6.342,6.465,1.62,1.698
2570,1,2,6.376,6.315,0.959,0.989
2570,2,2,5.604,6.221,0.997,1.037
2570,3,2,5.96,5.933,1.198,1.099
2571,1,2,5.697,5.969,1.058,1.108
2571,2,2,6.404,5.783,1.109,1.077
2571,3,2,5.881,5.796,1.077,1.021
2572,1,2,6.049,6.409,1.313,1.261
2572,2,2,6.369,6.295,1.117,1.071
2572,3,2,6.22,6.085,1.187,1.145
2573,1,2,6.455,6.225,1.007,1.007
2573,2,2,6.253,6.312,1.014,1.118
2573,3,2,6.354,6.239,1.014,0.978
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
