ID,repeats,experimental_replicate,control-ecuatorial,control-polar,boscalid-ecuatorial,boscalid-polar
2552,1,1,6.277,6.313,2.907,2.791
2552,2,1,6.81,6.889,2.945,2.8
2552,3,1,6.493,6.906,2.701,2.891
2554,1,1,6.877,6.869,2.551,2.357
2554,2,1,7.011,7.127,2.374,2.374
2554,3,1,7.18,6.751,2.343,2.272
2557,1,1,6.027,6.511,2.591,2.785
2557,2,1,5.804,6.145,2.9,2.9
2557,3,1,6.672,6.811,2.955,2.841
461,1,2,5.175,5.095,1.963,2.204
461,2,2,5.228,5.151,2.45,2.242
461,3,2,5.092,5.236,2.209,2.202
1884,1,2,5.282,5.341,2.215,2.387
1884,2,2,5.187,4.953,2.4,2.446
1884,3,2,5.162,5.314,2.413,2.403
1887,1,2,5.444,5.176,2.408,2.553
1887,2,2,5.156,5.248,2.485,2.405
1887,3,2,5.597,5.597,2.399,2.525
1888,1,2,5.431,5.482,2.392,2.267
1888,2,2,5.406,5.616,2.469,2.482
1888,3,2,5.358,5.314,2.588,2.346
1889,1,2,5.301,5.329,2.449,2.825
1889,2,2,5.205,5.474,2.629,2.53
1889,3,2,5.249,4.919,2.61,2.753
1890,1,2,5.257,5.175,2.346,2.263
1890,2,2,5.086,5.044,2.193,2.305
1890,3,2,5.068,5.065,2.35,2.245
1891,1,2,6.017,5.816,2.66,2.769
1891,2,2,5.76,5.828,2.655,2.775
1891,3,2,5.529,5.69,2.774,2.744
1892,1,2,5.595,5.556,2.401,2.324
1892,2,2,4.692,4.843,2.487,2.481
1892,3,2,4.713,4.89,2.351,2.295
1893,1,2,4.948,4.73,2.116,2.277
1893,2,2,4.857,4.73,2.124,2.24
1893,3,2,4.728,4.817,2.399,2.117
1894,1,2,5.778,5.778,2.509,2.509
1894,2,2,5.442,5.547,2.408,2.358
1894,3,2,5.666,5.7666,2.378,2.559
1895,1,2,4.306,4.506,2.172,2.011
1895,2,2,4.357,4.48,2.361,2.44
1895,3,2,4.424,4.481,2.153,2.288
1896,1,2,4.969,4.969,2.083,1.884
1896,2,2,6.094,6.036,2.046,1.985
1896,3,2,5.764,5.86,2.117,2.039
1898,1,2,4.562,4.655,2.243,2.03
1898,2,2,4.749,5.03,2.242,2.22
1898,3,2,4.964,5.108,2.059,2.188
1899,1,2,5.472,5.551,2.519,2.483
1899,2,2,5.616,5.305,2.53,2.341
1899,3,2,5.606,5.153,2.752,2.452
1901,1,2,5.829,5.575,2.641,2.399
1901,2,2,5.322,5.117,2.399,2.566
1901,3,2,5.068,5.297,2.485,2.559
1902,1,2,5.536,5.719,2.763,2.7
1902,2,2,5.625,5.686,2.633,2.505
1902,3,2,5.595,5.665,2.901,2.613
1903,1,2,5.503,5.59,2.447,2.366
1903,2,2,5.984,5.906,2.508,2.458
1903,3,2,5.586,5.588,2.457,2.438
1904,1,2,5.575,5.583,2.374,2.396
1904,2,2,5.154,5.059,2.376,2.376
1904,3,2,5.616,5.263,2.32,2.259
1905,1,2,5.555,5.555,1.89,1.875
1905,2,2,5.269,5.399,2.212,2.273
1905,3,2,5.243,5.303,2.08,2.114
1906,1,2,5.713,5.987,2.276,2.177
1906,2,2,5.945,6.028,2.181,2.189
1906,3,2,5.806,6.028,2.329,2.243
1907,1,2,5.572,5.569,2.48,2.396
1907,2,2,5.777,5.681,2.293,2.492
1907,3,2,5.502,5.7,2.204,2.241
1920,1,2,5.208,4.963,2.282,2.42
1920,2,2,5.207,5.292,2.26,2.241
1920,3,2,4.703,4.775,2.419,2.188
1921,1,2,5.334,5.319,2.777,2.494
1921,2,2,5.495,5.659,2.472,2.482
1921,3,2,5.565,5.589,2.536,2.178
1922,1,2,5.426,5.444,2.631,2.385
1922,2,2,5.649,5.523,2.571,2.315
1922,3,2,5.262,5.262,2.569,2.616
1923,1,2,4.851,4.851,2.05,2.23
1923,2,2,5.261,5.007,2.23,1.984
1923,3,2,4.875,5.119,2.489,2.52
1924,1,2,5.443,5.404,2.404,2.313
1924,2,2,5.486,5.403,2.54,2.482
1924,3,2,5.432,5.111,2.25,2.25
1926,1,2,5.579,5.433,2.458,2.201
1926,2,2,5.403,5.574,2.145,2.423
1926,3,2,5.48,5.241,2.618,2.419
1928,1,2,5.56,5.907,2.466,2.59
1928,2,2,5.555,5.691,2.321,2.527
