ID,experimental_replicate,dose,ecuatorial,polar,,,,,,,,,,
12B,1,0.01,4.27,4.36,,,,,,,,,,
12B,1,0.01,3.30,3.67,,,,,,,,,,
20,1,0.01,4.69,4.51,,,,,,,,,,
20,1,0.01,4.69,4.97,,,,,,,,,,
20,1,0.01,4.09,4.20,,,,,,,,,,
20,1,0.01,3.76,3.80,,,,,,,,,,
123,1,0.01,3.46,3.46,,,,,,,,,,
123,1,0.01,4.06,4.20,,,,,,,,,,
123,1,0.01,3.12,3.70,,,,,,,,,,
123,1,0.01,3.52,3.29,,,,,,,,,,
21,1,0.01,4.61,4.41,,,,,,,,,,
21,1,0.01,3.89,3.99,,,,,,,,,,
21,1,0.01,4.55,4.46,,,,,,,,,,
21,1,0.01,2.64,2.44,,,,,,,,,,
74SS1,1,0.01,4.7,4.4,,,,,,,,,,
74SS1,1,0.01,4.25,4.47,,,,,,,,,,
74SS1,1,0.01,4.12,4.31,,,,,,,,,,
74SS1,1,0.01,2.92,3.29,,,,,,,,,,
87,1,0.01,4.45,4.60,,,,,,,,,,
87,1,0.01,4.65,4.38,,,,,,,,,,
87,1,0.01,4.23,4.31,,,,,,,,,,
87,1,0.01,3.66,3.50,,,,,,,,,,
118,1,0.01,4.94,4.68,,,,,,,,,,
118,1,0.01,4.47,4.30,,,,,,,,,,
118,1,0.01,4.55,4.09,,,,,,,,,,
118,1,0.01,3.66,3.79,,,,,,,,,,
129,1,0.01,4.29,3.98,,,,,,,,,,
129,1,0.01,4.06,4.21,,,,,,,,,,
129,1,0.01,4.46,4.25,,,,,,,,,,
129,1,0.01,2.11,1.84,,,,,,,,,,
449,1,0.01,4.21,4.07,,,,,,,,,,
449,1,0.01,4.21,4.39,,,,,,,,,,
449,1,0.01,2.61,2.43,,,,,,,,,,
449,1,0.01,2.79,3.04,,,,,,,,,,
461,1,0.01,2.85,2.46,,,,,,,,,,
461,1,0.01,2.28,2.37,,,,,,,,,,
461,1,0.01,2.45,2.14,,,,,,,,,,
461,1,0.01,2.12,2.17,,,,,,,,,,
467,1,0.01,4.16,4.30,,,,,,,,,,
467,1,0.01,3.72,3.43,,,,,,,,,,
467,1,0.01,3.59,3.75,,,,,,,,,,
467,1,0.01,3.60,3.71,,,,,,,,,,
475,1,0.01,3.49,3.99,,,,,,,,,,
475,1,0.01,3.80,3.80,,,,,,,,,,
