ID,repeats,experimental_replicate,control-ecuatorial,control-polar,tetraconazole-ecuatorial,tetraconazole-polar
2113,3,1,4.189,4.305,1.928,2.1
2114,1,1,4.996,5.415,2.212,2.342
2114,2,1,5.715,5.374,2.21,2.437
2114,3,1,5.482,5.314,2.127,2.075
2115,1,1,5.371,5.408,2.268,1.929
2115,2,1,6.007,5.93,2.276,2.404
2115,3,1,4.893,5.302,2.293,2.304
2117,1,1,5.004,5.564,1.9,2.225
2117,2,1,5.161,4.521,2.091,2.164
2117,3,1,4.33,4.648,2.041,2.198
2129,1,1,5.854,5.982,1.929,2.005
2129,2,1,5.587,5.547,1.702,1.679
2129,3,1,5.606,5.711,1.762,1.653
2130,1,1,6.177,6.059,2.379,2.484
2130,2,1,6.569,5.963,2.149,2.287
2130,3,1,6.08,5.931,2.427,2.08
2131,1,1,5.554,5.712,2.302,2.199
2131,2,1,5.993,5.84,2.245,2.19
2131,3,1,5.988,5.487,2.015,2.35
2132,1,1,5.232,5.27,2.346,2.256
2132,2,1,5.583,5.5,2.283,2.141
2132,3,1,5.946,5.672,2.273,2.126
2133,1,1,6.42,6.393,1.359,1.568
2133,2,1,5.616,5.653,1.451,1.491
2133,3,1,5.514,5.866,1.447,1.552
2134,1,1,5.907,5.612,2.115,2.31
2134,2,1,5.883,5.717,2.152,2.02
2134,3,1,6.218,5.487,2.309,2.304
2136,1,1,5.902,5.519,2.383,2.452
2136,2,1,5.344,5.849,2.145,2.119
2136,3,1,5.214,5.796,2.152,2.065
2570,1,1,5.57,5.52,1.88,2.005
2570,2,1,4.668,4.822,1.839,2.01
2570,3,1,5.273,5.193,1.961,2.142
2571,1,1,5.487,5.884,2.137,2.122
2571,2,1,5.886,5.947,2.252,2.173
2571,3,1,5.391,5.809,2.187,2.187
2572,1,1,5.153,5.353,2.393,2.462
2572,2,1,5.44,5.669,2.425,2.352
2572,3,1,5.33,5.33,2.494,2.352
2573,1,1,4.914,5.151,2.022,1.906
2573,2,1,5.085,4.895,2.053,2.201
2573,3,1,4.485,4.873,2.02,1.96
568,1,2,5.914,5.723,2.447,2.205
568,2,2,5.841,5.808,2.454,2.688
568,3,2,5.78,5.734,2.396,2.45
1842,1,2,5.832,5.453,1.73,1.66
1842,2,2,5.581,5.409,1.617,1.461
1842,3,2,5.642,5.408,1.768,1.833
1843,1,2,5.758,5.832,1.832,1.835
1843,2,2,5.632,5.517,2.031,1.97
1843,3,2,5.758,5.442,1.518,1.485
1845,1,2,5.448,5.374,1.88,1.826
1845,2,2,5.412,5.526,2.086,1.922
1845,3,2,5.835,5.568,1.526,1.558
2027,1,2,6.213,6.01,2.666,2.576
2027,2,2,6.207,6.55,2.908,2.867
2027,3,2,6.303,6.274,3.101,3.204
2030,1,2,5.256,5.256,2.333,2.374
2030,2,2,5.182,5.056,2.56,2.615
2030,3,2,5.017,5.156,2.591,2.705
2031,1,2,5.396,5.662,2.56,2.509
2031,2,2,5.508,5.675,2.521,2.531
2031,3,2,5.585,5.418,2.348,2.375
2033,1,2,4.689,5.155,2.217,2.217
2033,2,2,5.082,4.791,2.126,2.023
2033,3,2,5.222,5.348,2.299,2.299
2035,1,2,5.913,6.107,2.9,2.91
2035,2,2,5.564,5.82,2.817,2.9
2035,3,2,5.771,5.767,2.779,2.779
2036,1,2,6.048,6.219,2.782,2.791
2036,2,2,5.938,5.405,2.719,2.561
2036,3,2,6.026,6.266,2.962,2.749
2108,1,2,5.919,6.046,2.768,2.768
2108,2,2,6.368,6.165,2.82,2.563
2108,3,2,6.446,6.327,2.884,2.884
2109,1,2,5.92,6.255,2.619,2.529
2109,2,2,5.738,5.934,2.53,2.673
2109,3,2,6.274,6.222,2.663,2.752
2111,1,2,5.741,6.292,2.748,2.837
2111,2,2,6.146,5.333,2.664,2.397
2111,3,2,5.747,6.011,2.581,2.299
2112,1,2,6.167,6.225,3.175,2.966
2112,2,2,5.944,6.121,2.693,2.693
2112,3,2,6.096,6.196,2.624,2.624
2113,1,2,5.573,5.565,2.514,2.44
2113,2,2,5.545,5.453,2.652,2.393
2113,3,2,5.453,5.453,2.429,2.572
2114,1,2,5.729,5.762,2.577,2.638
2114,2,2,5.616,5.616,2.495,2.682
2114,3,2,5.533,6.064,2.499,2.499
2115,1,2,5.298,5.097,2.397,2.562
2115,2,2,5.225,5.422,2.338,2.502
2115,3,2,4.948,5.415,2.157,2.436
2117,1,2,5.044,4.789,2.401,2.401
2117,2,2,4.739,4.458,2.28,2.124
2117,3,2,4.845,4.868,2.317,2.228
2129,1,2,6.066,6.224,2.096,2.188
2129,2,2,6.211,5.841,2.414,2.241
2129,3,2,6.112,5.56,2.174,2.128
2130,1,2,5.175,4.857,1.789,1.893
2130,2,2,5.117,5.311,2.144,2.184
2130,3,2,5.39,5.39,2.149,2.1
2131,1,2,5.758,5.849,2.496,2.729
2131,2,2,5.849,6.108,2.774,2.66
2131,3,2,5.962,5.915,2.66,2.587
2132,1,2,4.799,4.737,2.078,2.072
2132,2,2,3.959,4.118,2.133,2.092
2132,3,2,4.118,4.209,1.919,1.854
2133,1,2,6.427,6.366,2.059,2.101
2133,2,2,6.06,6.308,2.394,2.219
2133,3,2,6.655,6.563,2.103,2.241
2134,1,2,6.626,6.225,2.753,2.545
2134,2,2,6.263,6.206,2.766,2.505
2134,3,2,6.45,6.45,2.662,2.376
2136,1,2,6.435,6.435,2.478,2.541
2136,2,2,6.352,6.257,2.733,2.455
2136,3,2,5.954,6.195,2.805,2.757
2570,1,2,6.968,6.328,2.725,2.77
2570,2,2,6.496,6.249,2.516,2.705
2570,3,2,6.316,6.397,2.705,2.744
2571,1,2,5.276,5.227,2.406,2.565
2571,2,2,5.684,5.554,2.351,2.241
2571,3,2,5.832,5.676,2.072,2.027
2572,1,2,6.172,5.878,3.019,2.961
2572,2,2,5.796,5.621,3.046,3.097
2572,3,2,6.147,6.034,3.046,2.874
2573,1,2,6.706,6.85,2.985,2.963
2573,2,2,7.066,7.225,2.919,3.12
2573,3,2,7.013,6.954,3.055,3.186
568,1,1,6.024,6.601,2.714,2.838
568,2,1,6.167,5.816,2.791,2.674
568,3,1,6.402,6.402,2.759,2.763
1844,1,1,6.02,5.823,1.428,1.283
1844,2,1,5.815,5.552,1.449,1.24
1844,3,1,5.792,5.586,1.377,1.205
1847,1,1,5.877,5.981,1.259,1.446
1847,2,1,6.087,6.247,1.441,1.3
1847,3,1,5.793,5.919,1.574,1.511
1848,1,1,6.013,6.445,1.4,1.274
1848,2,1,5.8,5.714,1.5,1.5
1848,3,1,6.205,6.353,1.314,1.445
1852,1,1,6.307,6.56,1.422,1.467
1852,2,1,5.826,5.851,1.384,1.447
1852,3,1,6.511,6.431,1.304,1.665
2150,1,1,6.624,6.345,1.031,0.974
2150,2,1,5.751,6.128,1.086,0.909
2150,3,1,5.906,5.494,0.909,0.895
2151,1,1,6.431,6.331,2.467,2.556
2151,2,1,6.677,6.662,2.638,2.409
2151,3,1,6.902,6.76,2.444,2.444
2152,1,1,6.125,6.125,2.438,2.242
2152,2,1,5.796,5.473,2.509,2.422
2152,3,1,6.604,6.156,2.109,2.335
2153,1,1,4.757,6.147,2.28,2.139
2153,2,1,5.703,5.703,2.31,2.31
2153,3,1,6.055,5.919,2.254,2.254
2154,1,1,5.746,5.238,2.441,2.151
2154,2,1,6.474,6.113,2.248,2.131
2154,3,1,5.748,6.054,2.358,2.199
2155,1,1,6.37,5.914,2.37,2.187
2155,2,1,5.852,5.699,2.244,2.367
2155,3,1,5.956,6.011,2.481,2.504
2156,1,1,5.694,5.654,2.956,2.795
2156,2,1,6.126,6.402,2.669,2.48
2156,3,1,6.402,6.264,2.285,2.271
2157,1,1,5.528,5.837,2.476,2.477
2157,2,1,5.735,5.298,2.401,2.137
2157,3,1,5.655,5.61,2.353,2.243
2158,1,1,5.61,6.55,2.213,2.213
2158,2,1,5.777,5.967,2.393,2.316
2158,3,1,5.681,5.594,2.316,2.184
2160,1,1,5.76,6.184,2.602,2.57
2160,2,1,5.733,5.728,2.454,2.444
2160,3,1,5.28,5.885,2.51,2.412
2161,1,1,6.371,6.371,2.355,2.458
